station,target_date,issue_date,pull_seq,lead_days,min_temp_c,avg_temp_c,max_temp_c,precip_mm,pressure_hpa,wind_kmh,source
Krakow_Centrum,2026-08-08,2026-08-07,1,1,18.2,22.4,25.9,0.1,996.5,14,prognoza
Krakow_Centrum,2026-08-09,2026-08-07,1,2,16.4,22.5,27.9,0,996.3,14,prognoza
Krakow_Centrum,2026-08-09,2026-08-08,1,1,15.8,22.2,27.8,0,996.3,13.7,prognoza
Krakow_Centrum,2026-08-09,,,,,,26.8,,1018,14.4,IMGW_real_15:00
Krakow_Centrum,2026-08-10,2026-08-07,1,3,18.4,26.1,34,0,990.6,20.1,prognoza
Krakow_Centrum,2026-08-10,2026-08-08,1,2,18.4,27.6,35.5,0,990.1,15.8,prognoza
Krakow_Centrum,2026-08-10,2026-08-09,1,1,17.3,26.2,34.1,0,990.6,15.5,prognoza
Krakow_Centrum,2026-08-10,2026-08-09,2,1,17.3,26.3,34.2,0,990.3,17.3,prognoza
Krakow_Centrum,2026-08-10,,,,,,29.2,,1012,14.4,IMGW_real_17:00
Krakow_Centrum,2026-08-11,2026-08-07,1,4,18.7,22.3,25.8,0.1,994.2,14.6,prognoza
Krakow_Centrum,2026-08-11,2026-08-08,1,3,19.2,23.6,27.6,0,994.2,15.7,prognoza
Krakow_Centrum,2026-08-11,2026-08-09,1,2,19.4,23.4,26.9,0,994,15.5,prognoza
Krakow_Centrum,2026-08-11,2026-08-09,2,2,19.8,24.2,27.2,0,993.8,14.8,prognoza
Krakow_Centrum,2026-08-12,2026-08-07,1,5,14,19.9,25,0,1000.8,13.1,prognoza
Krakow_Centrum,2026-08-12,2026-08-08,1,4,14.3,20.4,25.5,0,1000.7,11.6,prognoza
Krakow_Centrum,2026-08-12,2026-08-09,1,3,15.3,20.7,25.7,0,1000.9,9.7,prognoza
Krakow_Centrum,2026-08-12,2026-08-09,2,3,15.3,21.3,27,0,1001.1,11.5,prognoza
Krakow_Centrum,2026-08-13,2026-08-07,1,6,14.2,20.5,26.1,0,1001.8,10.8,prognoza
Krakow_Centrum,2026-08-13,2026-08-08,1,5,15,21.3,26.4,0,1001.4,11.3,prognoza
